"","OTU","metaphlan4","gottcha2.speDB.b","kraken2","pangia"
"1","1350",34.8589767527996,54.7282111833799,29.0623254845134,28.6792090284956
"2","1279",10.1607049915875,14.0696458668702,12.2013866069072,12.4624741763381
"3","561",6.69092818363726,3.74907701030911,15.2071560552272,20.1120374895591
"4","1716",5.04718581835813,2.07150325320828,4.14770003178314,5.07028010380586
"5","9605",0,0,13.5640753529814,0
"6","204475",13.3181991394674,0,0,0
"7","unknow.1",0,0,0,10.8522912056307
"8","210425",0.654796398116129,4.58203521243926,0.823344987152069,0.979209227995991
"9","84111",1.1296003565456,3.41006783522123,0.947209458088451,1.24447069465528
"10","29465",3.48224165834405,0.543805772365007,2.09849541837928,0.537812466340884
"11","1501226",0.0116915208999927,1.37414872111327,3.13148344672912,0
"12","542960",0,0,8.97828870226019e-05,3.86535060712449
"13","186794",0,0,0.000215478928854245,3.60138457172315
"14","1649",1.84092103542714,0.176167919298845,1.4038452214854,0
"15","2803850",0.505513279644594,2.10697610493064,0.482205929620991,0
"16","1506553",1.08959073062848,0.384525712670457,0.862849457442014,0.646680131815263
"17","140410",0,0,3.59131548090408e-05,2.94305471700748
"18","572511",2.14662021941189,0,0.757031346797175,0
"19","1375",0.772098271862966,0.796400298472748,0.528372290128012,0.703964387457952
"20","1301",0.75359941633974,0.804329524151865,0.487359467336088,0.671469494890794
"21","292632",0,2.58765411215208,0,0
"22","1769710",1.1768752095494,1.27401790280049,0,0
"23","unknow.2",2.13550869563227,0,0,0
"24","191303",0,1.72075325974641,0.269510270264447,0
"25","3025755",0,1.9882324726553,0,0
"26","unknow.3",1.71309781040912,0,0,0
"27","unknow.4",1.65724510525676,0,0,0
"28","207244",0.667963350287226,0.420555001282587,0.396158010698529,0.0149956719503498
"29","2169654",0,0,0.000269348661067806,1.40380254683025
"30","unknow.5",1.22408901022474,0,0,0
"31","1623299",0,0,0.000197522351449724,1.18350398129587
"32","unknow.6",1.07783815740003,0,0,0
"33","unknow.7",1.01523916995289,0,0,0
"34","1357",0.145894714242033,0.368055180733484,0.23548255608288,0.232825774804392
"35","216851",0,0.0611802360293999,0.917634975103205,0
"36","unknow.8",0.924606988354777,0,0,0
"37","13075",0.295391515863176,0.616865935990839,0,0
"38","570",0.119245372869465,0.00417327667321964,0.437583834770757,0.332243535286871
"39","946234",0.0493811583356525,0.273794771607696,0.320453080361071,0.176728334050136
"40","1485",0.0950584754114291,0.202515206029105,0.359957550651016,0.133638509761932
"41","unknow.9",0,0,0,0.682526099972249
"42","286",0,0,0.627815815794246,0
"43","unknow.10",0.581167289993981,0,0,0
"44","unknow.11",0.575235038745334,0,0,0
"45","unknow.12",0.511323426236323,0,0,0
"46","1243",0.101764056153897,0.086692867425016,0.12747374299469,0.188999916608958
"47","160674",0.104012816918821,0.0858025684013958,0.302316937182505,0
"48","2717089",0,0.237209046105804,0.249129554910316,0
"49","1883",0,0,0.481002838934888,0
"50","508215",0,0.238961822308556,0.223900563656965,0
"51","1918454",0,0.134546439944601,0.276908380155109,0
"52","2719231",0,0,0.396427359359597,0
"53","unknow.13",0,0,0,0.39443663844909
"54","unknow.14",0.371778154154077,0,0,0
"55","1623283",0,0,0.322302607833736,0
"56","unknow.15",0.308853554288494,0,0,0
"57","1578",0,0,0.0334531037046215,0.266091031348861
"58","1980693",0.295818882162392,0,0,0
"59","469",0.0580404135888238,0.0187797450294884,0.14077956685144,0.0683511829715262
"60","1017280",0.284859989203913,0,0,0
"61","2591381",0.0721638522391196,0.134685549167042,0.0632969353509344,0
"62","1905344",0.0243090021149544,0.0793479004801494,0.16024449675794,0
"63","unknow.16",0,0,0,0.259415238208254
"64","1870884",0,0.0217010387007421,0.202209018152304,0.0348850038673883
"65","2316020",0.00274735478067714,0,0.243724625111555,0
"66","841",0,0,0.119411239740061,0.115773842577878
"67","55087",0,8.34655334643928e-05,0.175381891509951,0.0454718763983719
"68","unknow.17",0.215575771790466,0,0,0
"69","1924110",0.213622097279763,0,0,0
"70","644652",0.0380864775706465,0.0636563801888436,0.0949543813151038,0.0102276820481524
"71","2719313",0,0.0795148315470782,0.123882427513786,0
"72","1623274",0,0,0,0.202671759418397
"73","544",0,0.00122416115747776,0.18777192991907,0.0122029903645203
"74","unknow.18",0.20077058213904,0,0,0
"75","990721",0,0,0.0737656199777698,0.123406509301995
"76","unknow.19",0,0,0,0.185437514646946
"77","unknow.20",0,0,0,0.18274617073953
"78","963",0.024074968189193,0.0593161724486951,0.0868380083282606,0.0111125522487411
"79","117563",0.120140807020204,0.0595943908935764,0,0
"80","186765",0,0,0,0.174359078364198
"81","unknow.21",0,0,0,0.169401035037409
"82","1742989",0.020910422497376,0.0660768806593109,0.0680733849405368,0.0119322194896835
"83","4930",0.16552303784176,0,0,0
"84","1730",0,0.0433186118680199,0.121332593522344,0
"85","590",0,0,0.129790141479873,0.0300096761021991
"86","46255",0.0171658796851938,0.0441810890471519,0.0534926440880662,0.0434460054473651
"87","44249",0,0,0.146507715043482,0
"88","1573534",0,0,0.137619209228244,0
"89","33042",0,0,0.124403168258517,0
"90","620",0,0,0.120668200158377,0
"91","51668",0,0,0.0156401789193373,0.104006752585224
"92","547",0,0,0.115496705865875,0.00280277705704614
"93","459786",0,0,0.112875045564815,0
"94","2169643",0,0,0.000143652619236163,0.11042637249562
"95","444888",0,0.00943160528147638,0.0253008175629692,0.0745854667687725
"96","unknow.22",0.107034907177566,0,0,0
"97","unknow.23",0.0936033949164779,0,0,0
"98","unknow.24",0.0929826962438064,0,0,0
"99","69965",0.015507291428711,0.00130762669094215,0.0675346876184012,0.00736394916936903
"100","1263",0.0406913769182514,0,0.046723014406562,0
"101","unknow.25",0,0,0,0.0859286341888773
"102","1623298",0,0,0.00150835250197971,0.0836969139866791
"103","1392389",0,0,0.0721136148565539,0.0130280745715845
"104","unknow.26",0.0850967704844553,0,0,0
"105","61170",0.082451169584544,0,0,0
"106","1849828",0,0,0.0792423760861485,0
"107","2732589",0,0,0.0775185446553145,0
"108","unknow.27",0.0727031478071785,0,0,0
"109","57493",0.0116915208999927,0.00645466792124637,0.0399533847250579,0.0119557037511095
"110","1918385",0,0,0.0698331295261798,0
"111","2767887",0,0,0.0674987744635921,0
"112","33882",0,0,0.0672832955347379,0
"113","1678",0,0,0.0669959902962656,0
"114","unknow.28",0.0667098442300716,0,0,0
"115","228398",0,0,0.0630096301124621,0
"116","unknow.29",0,0,0,0.0629315999417803
"117","unknow.30",0.0620800426552268,0,0,0
"118","1849822",0,0,0.0592028357027037,0
"119","2892397",0,0.0587597355589325,0,0
"120","1649459",0,0,0.0547316479289781,0
"121","662",0,0,0.052002248163491,0
"122","1981159",0,0,0,0.0519558210123775
"123","2721119",0.051925005354798,0,0,0
"124","2721106",0.0474173084368722,0,0,0
"125","1843210",0,0,0.0471180591094615,0
"126","204037",0,0,0.0456097066074818,0
"127","338",0,0,0.0419106516621506,0
"128","2569097",0,0,0.0414617372270376,0
"129","1763",0,0,0.0401868202313166,0
"130","unknow.31",0,0,0,0.0394285268595756
"131","133925",0,0,0.0374574204658295,0
"132","unknow.32",0,0,0,0.0374106827499676
"133","1866885",0,0,0.0368648534114804,0
"134","830",0,0,0.0367212007922442,0
"135","374",0,0,0.0348357601647696,0
"136","2749267",0,0,0.0346382378133198,0
"137","848",0,0,0.0342791062652294,0
"138","1873",0,0,0.0323936656377548,0
"139","2172004",0,0.0323568051396963,0,0
"140","244127",0,0.0318281900944218,0,0
"141","872",0,0,0.0318190551608101,0
"142","194",0,0,0.0311007920646293,0
"143","157",0,0,0.0310469223324158,0
"144","1663",0,0,0.0308314434035615,0
"145","1654",0,0,0.0307416605165389,0
"146","1330547",0,0,0.0306877907843253,0
"147","1637",0,0.000862477179132059,0.0282636528347151,0
"148","2893057",0,0.0284895687558461,0,0
"149","83654",0,0,0.0283175225669287,0
"150","52784",0.028287578852898,0,0,0
"151","2743582",0,0,0.027706998935175,0
"152","186789",0,0,0,0.0275187879024983
"153","1738645",0,0,0.0269528226841851,0
"154","1839",0,0,0.026845083219758,0
"155","379",0,0,0.0257856451528913,0
"156","237",0,0,0.025498339914419,0
"157","2745",0,0,0.0253367307177783,0
"158","1269",0,0.000222574755905047,0.012731213379805,0.0122539173202244
"159","2747",0,0,0.0177231418982616,0.00739598445821591
"160","59732",0,0,0.0249416860148788,0
"161","1661425",0,0,0.024636424199002,0
"162","32008",0,0,0.0245286847345749,0
"163","2737",0,0,0.0243850321153387,0
"164","1129",0,0,0.024223422918698,0
"165","482",0,0.0064824897657345,0.0174537932371938,0
"166","43668",0,0.00940378343698825,0.0145089145428525,0
"167","106589",0,0,0.0236308558643488,0
"168","1817",0,0,0.0235769861321353,0
"169","1470540",0,0,0.0233974203580901,0
"170","1298",0,0,0.0227509835715273,0
"171","unknow.33",0,0,0,0.0225377649503292
"172","2093",0,0,0.0225175480652686,0
"173","68287",0,0,0.0224098086008414,0
"174","unknow.34",0,0,0,0.0221067827737296
"175","642",0,0,0.0218172415464923,0
"176","186777",0,0,0,0.0214375127200277
"177","773",0,0.0148012212676857,0.0063386718237957,0
"178","2944198",0,0.0210054925885388,0,0
"179","2985502",0,0,0.0209194126762663,0
"180","12916",0,0,0.020703933747412,0
"181","2675234",0,0,0.0205782377055804,0
"182","970",0,0,0.0203627587767261,0
"183","40323",0,0,0.0200395403834448,0
"184","1981157",0,0,0,0.0196424996367344
"185","13687",0,0,0.0192494509776459,0
"186","37914",0,0,0.0191596680906233,0
"187","unknow.35",0,0,0,0.0185629810320688
"188","816",0,0,0.018495274726656,0
"189","28231",0,0,0.0184773181492515,0
"190","86331",0.0139301062768408,0,0.00441731804151202,0
"191","1813",0,0,0.0177231418982616,0
"192","89966",0,0,0.0175435761242164,0
"193","59734",0,0.00795704752360544,0.00942720313737321,0
"194","400634",0,0,0.0171664879987215,0
"195","906",0,0,0.0170946616891034,0
"196","904",0,0,0.0170407919568898,0
"197","22",0,0,0.0168971393376537,0
"198","unknow.36",0,0,0,0.0167749043790293
"199","2720807",0.0164637779079097,0,0,0
"200","34072",0,0,0.0163404854381136,0
"201","1981158",0,0,0,0.0162918068127824
"202","253238",0,0,0.0161788762414729,0
"203","2132",0,0,0.0160352236222367,0
"204","191",0,0,0.0159095275804051,0
"205","2078948",0,0,0.0156940486515508,0
"206","407",0,0,0.0156760920741463,0
"207","102106",0,0,0.0152990039486514,0
"208","53246",0,0,0.0152630907938423,0
"209","2800373",0,0,0.0151373947520107,0
"210","2721121",0.0148865927560395,0,0,0
"211","149698",0,0,0.0147962197813248,0
"212","283",0,0,0.0146166540072796,0
"213","413496",0,0,0.0145807408524706,0
"214","28050",0,0,0.014077956685144,0
"215","517",0,0,0.0140600001077395,0
"216","2034",0,0,0.0138804343336943,0
"217","249411",0,0,0.0137726948692671,0
"218","1696",0,0,0.0137547382918626,0
"219","52959",0,0,0.0136829119822445,0
"220","unknow.37",0,0,0,0.0136079299639206
"221","40929",0,0,0.0133596935889632,0
"222","579",0,0,0.0131980843923225,0
"223","53335",0,0,0.0130364751956818,0
"224","2742598",0,0,0.0129466923086592,0
"225","222",0,0,0.0126773436475914,0
"226","158483",0,0,0.0126234739153778,0
"227","55080",0,0,0.0125875607605688,0
"228","1822464",0,0,0.0125696041831643,0
"229","1647",0,0,0.0124618647187371,0
"230","79255",0,0,0.0120488634384332,0
"231","586",0,0,0.011905210819197,0
"232","28453",0,0,0.011869297664388,0
"233","1742993",0,0,0.0114383398066795,0
"234","2767358",0,0,0.0113844700744659,0
"235","165695",0,0,0.0113485569196569,0
"236","32067",0,0,0.0112049043004207,0
"237","84406",0,0,0.0110612516811846,0
"238","2082587",0,0,0.0109175990619484,0
"239","46073",0,0,0.0108816859071394,0
"240","80865",0,0,0.0107559898653077,0
"241","1865",0,0,0.0107380332879032,0
"242","838",0,0,0.0107380332879032,0
"243","2817139",0,0,0.0106482504008806,0
"244","445",0,0,0.0106482504008806,0
"245","41275",0,0,0.010594380668667,0
"246","1847",0,0,0.0105764240912625,0
"247","68",0,0,0.0105225543590489,0
"248","1707",0,0,0.0105045977816444,0
"249","unknow.38",0.0103788958381137,0,0,0
"250","2035811",0,0,0.0103250320075992,0
"251","1177",0,0,0.0100915965013405,0
"252","46205",0,0,0.00992998730469978,0
"253","1330546",0,0,0.00894237554745115,0.000971529735378682
"254","36853",0,0,0.00987611757248621,0
"255","35829",0,0,0.00976837810805909,0
"256","535",0,0,0.00967859522103649,0
"257","unknow.39",0,0,0,0.00965443522638445
"258","2060094",0,0,0.00964268206622745,0
"259","447020",0,0,0.00964268206622745,0
"260","unknow.40",0,0,0,0.00960944464809605
"261","1569",0,0,0.00955289917920485,0
"262","2321111",0,0,0.0095169860243958,0
"263","239759",0,0,0.0095169860243958,0
"264","1164882",0,0,0.00939128998256416,0
"265","2767879",0,0,0.00935537682775512,0
"266","2039240",0,0,0.00928355051813704,0
"267","165779",0,0,0.00569223503723296,0.00341221498066667
"268","28196",0,0,0.00910398474409184,0
"269","129337",0,0,0.00901420185706923,0
"270","308911",0,0,0,0.00885706109367815
"271","47420",0,0,0.00865507030897883,0
"272","34098",0,0,0.00863711373157431,0
"273","1918538",0,0,0.00854733084455171,0
"274","1663717",0,0,0.00852937426714718,0
"275","357",0,0,0.00851141768974266,0
"276","84567",0,0,0.00838572164791102,0
"277","2767842",0,0,0.00822411245127034,0
"278","44000",0,0,0.00822411245127034,0
"279","209",0,0,0.00811637298684321,0
"280","1988",0,0,0.00800863352241609,0
"281","2147",0,0,0.00799067694501157,0
"282","84108",0,0,0.00795476379020253,0
"283","1854",0,0,0.00793680721279801,0
"284","107",0,0,0.00791885063539349,0
"285","unknow.41",0,0,0,0.00789649600533331
"286","72763",0,0,0.00786498090317993,0
"287","2767885",0,0,0.00781111117096637,0
"288","79206",0,0,0.00773928486134829,0
"289","28065",0,0,0.00773928486134829,0
"290","75",0,0,0.00772132828394377,0
"291","551",0,0,0.00770337170653925,0
"292","2742",0,0,0.00770337170653925,0
"293","unknow.42",0.00763154105743651,0,0,0
"294","1330545",0,0,0.00761358881951664,0
"295","1253",0,0,0.00759563224211212,0
"296","423349",0,0,0.0075776756647076,0
"297","2063",0,0,0.00755971908730308,0
"298","2207",0,0,0.00754176250989856,0
"299","329857",0,0,0.00745197962287596,0
"300","262",0,0,0.00729037042623528,0
"301","239934",0,0,0.0072185441166172,0
"302","745",0,0.00105723009054898,0.00614114947234597,0
"303","73918",0,0,0.00718263096180816,0
"304","122277",0,0,0.00716467438440363,0
"305","2675229",0,0,0.00716467438440363,0
"306","unknow.43",0.00715329781783715,0,0,0
"307","270",0,0,0.00712876122959459,0
"308","unknow.44",0,0,0.00712876122959459,0
"309","83681",0,0,0.00698510861035843,0
"310","48736",0,0,0.00694919545554939,0
"311","42255",0,0,0.00689532572333583,0
"312","1378",0,0,0.00687736914593131,0
"313","33886",0,0,0.00685941256852679,0
"314","1562",0,0,0.00685941256852679,0
"315","unknow.45",0,0,0.00684145599112227,0
"316","28895",0,0,0.00680554283631323,0
"317","698776",0,0,0.00675167310409967,0
"318","2013",0,0,0.00671575994929063,0
"319","47",0,0,0.00671575994929063,0
"320","1729679",0,0,0.00671575994929063,0
"321","1276290",0,0,0.0066978033718861,0
"322","33986",0,0,0.00666189021707706,0
"323","1016",0,0,0.00664393363967254,0
"324","29521",0,0,0.00659006390745898,0
"325","33024",0,0,0.00655415075264994,0
"326","39643",0,0,0.00646436786562734,0
"327","2759736",0,0,0.00641049813341378,0
"328","648800",0,0,0.00639254155600926,0
"329","2679910",0,0,0.00639254155600926,0
"330","1186",0,0,0.00637458497860474,0
"331","724",0,0,0.00635662840120022,0
"332","55968",0,0,0.00635662840120022,0
"333","33877",0,0,0.0063386718237957,0
"334","226",0,0,0.0062488889367731,0
"335","unknow.46",0,0,0,0.0061423077596267
"336","32",0,0,0.00614114947234597,0
"337","182709",0,0,0.00614114947234597,0
"338","158876",0,0,0.00612319289494145,0
"339","104267",0,0,0.00608727974013241,0
"340","2299",0,0,0.00606932316272789,0
"341","2321114",0,0,0.00594362712089625,0
"342","46913",0,0,0.00594362712089625,0
"343","12960",0,0,0.00592567054349173,0
"344","125216",0,0,0.00590771396608721,0
"345","29404",0,0,0.00583588765646913,0
"346","175304",0,0,0.00579997450166009,0
"347","2767886",0,0,0.00571019161463748,0
"348","165697",0,0,0.00569223503723296,0
"349","28105",0,0,0.00565632188242392,0
"350","2560124",0,0,0.000664393363967254,0.00497674959559653
"351","169215",0,0,0.0056383653050194,0
"352","60136",0,0,0.00560245215021036,0
"353","110932",0,0,0.00556653899540132,0
"354","1218",0,0,0.0055485824179968,0
"355","150247",0,0,0.00553062584059228,0
"356","1637257",0,0,0.00549471268578324,0
"357","114627",0,0,0.00547675610837872,0
"358","48073",0,0,0.00542288637616516,0
"359","29580",0,0,0.00540492979876064,0
"360","93217",0,0,0.00531514691173804,0
"361","2675233",0,0,0.00529719033433351,0
"362","82976",0,0,0.00527923375692899,0
"363","434",0,0,0.00527923375692899,0
"364","1649453",0,0,0.00526127717952447,0
"365","2071",0,0,0.00522536402471543,0
"366","33951",0,0,0.00520740744731091,0
"367","59739",0,0,0.00511762456028831,0
"368","1754",0,0,0.00504579825067023,0
"369","79328",0,0,0.00500988509586119,0
"370","171",0,0,0.00492010220883859,0
"371","1851",0,0,0.00490214563143407,0
"372","1508657",0,0,0.00488418905402955,0
"373","1434011",0,0,0.00488418905402955,0
"374","59753",0,0,0.00484827589922051,0
"375","2678885",0,0,0.00479440616700694,0
"376","13134",0,0,0.00477644958960242,0
"377","2529408",0,0,0.0047584930121979,0
"378","2055880",0,0,0.00474053643479338,0
"379","158846",0,0,0.00472257985738886,0
"380","896",0,0,0.00470462327998434,0
"381","150022",0,0,0.00470462327998434,0
"382","132406",0,0,0.00468666670257982,0
"383","1835",0,0,0.00468666670257982,0
"384","308865",0,0,0.0046687101251753,0
"385","1069494",0,0,0.0046687101251753,0
"386","478070",0,0,0.00459688381555722,0
"387","28228",0,0,0.00459688381555722,0
"388","1041",0,0,0.00456097066074818,0
"389","2767889",0,0,0.00454301408334366,0
"390","2172",0,0,0.00454301408334366,0
"391","2040",0,0,0.00454301408334366,0
"392","1912215",0,0,0.00450710092853462,0
"393","unknow.47",0,0,0,0.00449693343542999
"394","2039302",0,0,0.00447118777372558,0
"395","1505664",0,0,0.00441731804151202,0
"396","447792",0,0,0.00441731804151202,0
"397","1903434",0,0,0.0043993614641075,0
"398","186831",0,0,0.0043993614641075,0
"399","196082",0,0,0.00436344830929845,0
"400","390846",0,0,0.00436344830929845,0
"401","909656",0,0,0.00430957857708489,0
"402","2733",0,0,0.00430957857708489,0
"403","1434006",0,0,0.00429162199968037,0
"404","53460",0,0,0.00429162199968037,0
"405","165696",0,0,0.00423775226746681,0
"406","202746",0,0,0.00423775226746681,0
"407","626119",0,0,0.00421979569006229,0
"408","2815775",0,0,0.00418388253525325,0
"409","1266",0,0,0.00411205622563517,0
"410","2304693",0,0,0.00411205622563517,0
"411","1848399",0,0,0.00411205622563517,0
"412","670516",0,0,0.00411205622563517,0
"413","1912216",0,0,0.00407614307082613,0
"414","286104",0,0,0.00405818649342161,0
"415","2697",0,0,0.00405818649342161,0
"416","29393",0,0,0.00405818649342161,0
"417","161492",0,0,0.00400431676120805,0
"418","29330",0,0,0.00398636018380353,0
"419","365348",0,0,0.00396840360639901,0
"420","108061",0,0,0.00395044702899449,0
"421","475",0,0,0.00395044702899449,0
"422","2815296",0,0,0.00389657729678092,0
"423","508459",0,0,0.0038786207193764,0
"424","290174",0,0,0.00384270756456736,0
"425","2263",0,0,0.00384270756456736,0
"426","399320",0,0,0.00382475098716284,0
"427","234",0,0,0.00382475098716284,0
"428","2675232",0,0,0.0037888378323538,0
"429","83461",0,0,0.00377088125494928,0
"430","231454",0,0,0.00373496810014024,0
"431","2000",0,0,0.00371701152273572,0
"432","507",0,0,0.00371701152273572,0
"433","33071",0,0,0.00368109836792668,0
"434","2767893",0,0,0.00366314179052216,0
"435","167375",0,0,0.00364518521311764,0
"436","2812025",0,0,0.00364518521311764,0
"437","363408",0,0,0.0036092720583086,0
"438","1335483",0,0,0.00359131548090408,0
"439","281472",0,0,0.00357335890349956,0
"440","41273",0,0,0.00357335890349956,0
"441","2755",0,0,0.00357335890349956,0
"442","1653176",0,0,0.00355540232609504,0
"443","1743",0,0,0.00353744574869052,0
"444","323449",0,0,0.00353744574869052,0
"445","65551",0,0,0.00353744574869052,0
"446","162289",0,0,0.00350153259388148,0
"447","44260",0,0,0.00350153259388148,0
"448","138",0,0,0.00348357601647696,0
"449","106591",0,0,0.00348357601647696,0
"450","416",0,0,0.00348357601647696,0
"451","51514",0,0,0.00344766286166791,0
"452","118",0,0,0.00344766286166791,0
"453","49082",0,0,0.00344766286166791,0
"454","497",0,0,0.00342970628426339,0
"455","235888",0,0,0.00342970628426339,0
"456","40566",0,0,0.00342970628426339,0
"457","106633",0,0,0.00335787997464531,0
"458","2675230",0,0,0.00333992339724079,0
"459","2782231",0,0,0.00333992339724079,0
"460","543311",0,0,0.00333992339724079,0
"461","2603323",0,0,0.00333992339724079,0
"462","unknow.48",0.00332735190104232,0,0,0
"463","2726810",0,0,0.00332196681983627,0
"464","390805",0,0,0.00330401024243175,0
"465","186650",0,0,0.00330401024243175,0
"466","190323",0,0,0.00330401024243175,0
"467","227388",0,0,0.00328605366502723,0
"468","375288",0,0,0.00328605366502723,0
"469","2794837",0,0,0.00326809708762271,0
"470","907364",0,0,0.00326809708762271,0
"471","44013",0,0,0.00325014051021819,0
"472","171003",0,0,0.00323218393281367,0
"473","2675231",0,0,0.00323218393281367,0
"474","83614",0,0,0.00321422735540915,0
"475","44258",0,0,0.00319627077800463,0
"476","673534",0,0,0.00317831420060011,0
"477","2685905",0,0,0.00316035762319559,0
"478","274470",0,0,0.00314240104579107,0
